date,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,Target
1/1/2017 4:40,5.156,74.0,0.079,0.062,0.148,20.49417722
1/1/2017 4:50,5.179,74.2,0.083,0.037,0.137,20.31189873
1/1/2017 5:00,4.934,72.9,0.082,0.055,0.134,20.54278481
1/1/2017 5:10,4.718,75.8,0.08,0.051,0.152,20.62177215
1/1/2017 5:20,5.546,74.0,0.082,0.055,0.093,20.627848099999998
1/1/2017 5:30,4.658,73.5,0.08,0.044,0.104,20.79797468
1/1/2017 5:40,4.382,76.9,0.081,0.073,0.148,20.85873418
1/1/2017 5:50,4.212,78.3,0.081,0.117,0.082,21.393417720000002
1/1/2017 6:00,4.308,77.2,0.081,0.062,0.126,22.21974684
1/1/2017 6:10,4.735,74.3,0.08,0.04,0.156,21.92810127
1/1/2017 6:20,4.769,75.6,0.082,0.099,0.063,21.77620253
1/1/2017 6:30,4.92,73.7,0.083,0.099,0.096,21.65468354
1/1/2017 6:40,4.408,76.7,0.082,0.037,0.119,21.46632911
1/1/2017 6:50,4.29,77.0,0.085,0.033,0.193,20.84658228
1/1/2017 7:00,4.304,76.0,0.082,0.048,0.152,19.983797470000003
1/1/2017 7:10,4.513,74.6,0.084,0.055,0.134,18.90835443
1/1/2017 7:20,4.489,74.3,0.082,0.081,0.119,18.16708861
1/1/2017 7:30,4.356,72.3,0.082,0.07,0.119,18.07594937
1/1/2017 7:40,4.478,72.2,0.083,0.073,0.089,18.06379747
1/1/2017 7:50,4.583,71.0,0.083,0.066,0.104,18.04556962
1/1/2017 8:00,4.794,72.0,0.084,0.187,0.145,18.385822779999998
1/1/2017 8:10,4.807,73.1,0.082,0.955,0.949,18.98734177
1/1/2017 8:20,4.757,73.5,0.083,3.188,3.134,19.57670886
1/1/2017 8:30,4.509,74.5,0.084,6.643,6.494,19.83797468
1/1/2017 8:40,4.346,74.8,0.082,12.64,10.13,20.16607595
1/1/2017 8:50,4.718,73.7,0.081,58.97,17.0,20.676455699999998
1/1/2017 9:00,4.704,71.8,0.083,82.5,20.15,21.29620253
1/1/2017 9:10,4.624,74.1,0.082,106.9,22.55,22.0435443
1/1/2017 9:20,4.629,74.8,0.083,132.1,24.3,22.65113924
1/1/2017 9:30,4.599,74.0,0.082,156.1,26.9,23.13113924
1/1/2017 9:40,4.524,74.7,0.081,182.4,28.19,23.64151899
1/1/2017 9:50,4.575,74.5,0.082,208.8,29.2,24.66835443
1/1/2017 10:00,5.124,73.7,0.076,234.8,29.23,25.27594937
1/1/2017 10:10,5.836,71.3,2.66,257.9,31.01,25.92
1/1/2017 10:20,5.996,69.85,4.93,282.7,31.96,26.393924050000003
1/1/2017 10:30,6.22,68.81,4.924,307.0,32.42,26.86177215
1/1/2017 10:40,6.703,68.01,4.923,327.6,33.22,27.511898730000002
1/1/2017 10:50,6.993,66.14,4.918,349.6,33.41,28.14987342
1/1/2017 11:00,7.54,64.21,4.916,371.1,33.43,28.714936710000003
1/1/2017 11:10,8.22,61.9,4.916,388.2,33.89,29.04303797
1/1/2017 11:20,9.49,59.3,2.451,401.3,34.4,29.261772150000002
1/1/2017 11:30,10.65,56.03,0.084,419.5,35.29,29.47443038
1/1/2017 11:40,11.06,53.52,0.082,430.9,37.58,29.52303797
1/1/2017 11:50,12.4,53.26,0.08,437.5,43.46,29.711392410000002
1/1/2017 12:00,13.08,54.36,0.077,450.4,43.2,29.644556960000003
1/1/2017 12:10,14.38,54.42,0.076,470.5,37.92,29.802531650000002
1/1/2017 12:20,15.02,56.46,0.074,480.0,38.81,29.88759494
1/1/2017 12:30,15.55,58.7,0.075,486.1,39.46,30.03949367
1/1/2017 12:40,15.56,59.23,0.076,490.2,40.92,29.966582279999997
1/1/2017 12:50,15.49,59.3,0.076,495.9,40.9,29.99696203
1/1/2017 13:00,15.57,58.06,0.077,498.1,40.94,30.25822785
1/1/2017 13:10,15.65,58.7,0.077,498.1,42.75,30.40405063
1/1/2017 13:20,15.73,59.33,0.076,498.8,44.65,30.094177220000002
1/1/2017 13:30,15.68,58.6,0.079,497.0,44.26,30.16101266
1/1/2017 13:40,15.7,55.29,0.074,489.2,39.32,30.31898734
1/1/2017 13:50,15.75,52.45,0.077,482.4,38.65,30.15493671
1/1/2017 14:00,15.83,54.99,0.079,476.1,39.49,29.984810130000003
1/1/2017 14:10,15.79,56.66,0.076,467.7,39.94,30.02126582
1/1/2017 14:20,15.72,55.86,0.077,456.1,39.95,30.02126582
1/1/2017 14:30,15.8,54.06,0.075,449.2,41.52,29.91189873
1/1/2017 14:40,15.74,55.56,0.075,437.4,44.13,29.7478481
1/1/2017 14:50,15.72,56.69,0.077,422.0,43.87,29.70531646
1/1/2017 15:00,15.64,57.26,0.077,409.0,44.9,29.57164557
1/1/2017 15:10,15.69,57.96,0.074,391.8,46.89,29.553417720000002
1/1/2017 15:20,15.69,58.93,0.075,369.4,51.51,29.38329114
1/1/2017 15:30,15.6,58.7,0.073,321.0,57.14,29.06126582
1/1/2017 15:40,15.39,57.6,0.075,180.3,60.31,28.885063289999998
1/1/2017 15:50,15.34,58.7,0.075,149.5,67.85,28.854683540000003
1/1/2017 16:00,15.33,59.23,0.077,209.1,128.9,28.8364557
1/1/2017 16:10,15.48,57.46,0.074,265.1,219.1,28.70886076
1/1/2017 16:20,15.54,58.3,0.076,241.3,246.0,28.556962029999998
1/1/2017 16:30,15.53,58.8,0.077,219.0,248.1,28.51443038
1/1/2017 16:40,15.48,57.73,0.075,195.7,231.6,28.66632911
1/1/2017 16:50,15.47,58.23,0.077,174.9,211.9,29.09772152
1/1/2017 17:00,15.44,59.07,0.076,165.8,201.7,29.7235443
1/1/2017 17:10,15.35,59.3,0.077,132.0,163.0,30.87189873
1/1/2017 17:20,15.34,59.0,0.079,117.4,144.3,32.70075949
1/1/2017 17:30,15.11,59.53,0.076,97.6,120.6,35.79341772
1/1/2017 17:40,14.93,60.83,0.077,76.5,94.0,38.32101266
1/1/2017 17:50,14.71,61.87,0.086,26.51,28.08,39.12911392
1/1/2017 18:00,14.48,63.27,0.08,18.0,18.29,39.560506329999996
1/1/2017 18:10,14.29,63.94,0.078,6.994,7.02,39.51797468
1/1/2017 18:20,14.09,64.87,0.078,2.818,2.763,39.59696203
1/1/2017 18:30,13.89,66.11,0.076,0.809,0.89,39.46936709
1/1/2017 18:40,13.79,66.74,0.076,0.146,0.197,39.68202532
1/1/2017 18:50,13.54,66.71,0.076,0.062,0.089,39.88860759
1/1/2017 19:00,12.51,68.35,0.077,0.055,0.085,39.99189873
1/1/2017 19:10,12.06,70.2,0.078,0.066,0.096,40.21063291
1/1/2017 19:20,11.75,70.7,0.079,0.055,0.126,40.21670886
1/1/2017 19:30,11.61,70.7,0.077,0.081,0.126,40.435443039999996
1/1/2017 19:40,11.5,70.6,0.078,0.059,0.074,40.51443038
1/1/2017 19:50,11.43,70.7,0.076,0.048,0.093,40.544810129999995
1/1/2017 20:00,11.42,71.2,0.076,0.073,0.085,40.2835443
1/1/2017 20:10,11.69,71.1,0.078,0.091,0.104,40.21670886
1/1/2017 20:20,12.05,69.82,0.077,0.048,0.108,40.47797468
1/1/2017 20:30,11.87,69.98,0.076,0.051,0.093,40.61164557
1/1/2017 20:40,11.61,71.2,0.078,0.04,0.119,40.435443039999996
1/1/2017 20:50,11.5,72.0,0.078,0.07,0.078,40.204556960000005
1/1/2017 21:00,11.43,72.0,0.075,0.051,0.07,39.58481013
1/1/2017 21:10,11.29,72.2,0.075,0.051,0.119,39.27493671
1/1/2017 21:20,11.49,73.1,0.077,0.044,0.085,39.14126582
1/1/2017 21:30,12.24,70.1,0.077,0.073,0.089,38.643037969999995
1/1/2017 21:40,11.84,68.78,0.074,0.066,0.093,38.01113924
1/1/2017 21:50,12.2,68.78,0.074,0.066,0.122,37.62227848
1/1/2017 22:00,13.1,65.44,0.074,0.04,0.141,36.953924050000005
1/1/2017 22:10,13.2,63.84,0.074,0.081,0.093,36.39493671
1/1/2017 22:20,13.18,63.97,0.075,0.081,0.093,35.289113920000005
1/1/2017 22:30,12.64,66.77,0.072,0.044,0.141,34.438481010000004
1/1/2017 22:40,12.39,68.04,0.074,0.084,0.115,33.67898734
1/1/2017 22:50,12.24,69.18,0.077,0.059,0.119,33.077468350000004
1/1/2017 23:00,12.11,69.94,0.074,0.088,0.082,32.117468349999996
1/1/2017 23:10,12.07,70.7,0.076,0.033,0.078,31.357974679999998
1/1/2017 23:20,11.99,70.8,0.075,0.055,0.134,30.70177215
1/1/2017 23:30,11.32,74.7,0.075,0.07,0.1,29.68101266
1/1/2017 23:40,11.37,74.8,0.074,0.084,0.082,28.83037975
1/1/2017 23:50,11.41,74.1,0.076,0.077,0.122,27.74886076
1/2/2017 0:00,11.01,75.8,0.076,0.033,0.163,26.70379747
1/2/2017 0:10,10.74,77.3,0.078,0.084,0.108,26.16911392
1/2/2017 0:20,10.47,78.2,0.078,0.088,0.13,25.622278480000002
1/2/2017 0:30,10.31,79.2,0.076,0.091,0.134,24.9721519
1/2/2017 0:40,10.63,79.3,0.079,0.037,0.152,24.43746835
1/2/2017 0:50,10.84,78.4,0.073,0.062,0.156,23.914936710000003
1/2/2017 1:00,10.94,78.1,0.074,0.084,0.108,23.62936709
1/2/2017 1:10,11.12,77.9,0.073,0.055,0.145,23.11898734
1/2/2017 1:20,11.02,77.5,0.081,0.062,0.178,22.73620253
1/2/2017 1:30,10.5,78.9,0.076,0.066,0.145,22.04962025
1/2/2017 1:40,10.22,79.8,0.078,0.088,0.126,21.855189869999997
1/2/2017 1:50,10.42,81.3,0.075,0.073,0.13,21.68506329
1/2/2017 2:00,10.86,80.0,0.076,0.066,0.159,21.53316456
1/2/2017 2:10,11.17,77.3,0.077,0.066,0.13,21.1078481
1/2/2017 2:20,11.1,75.6,0.077,0.077,0.156,20.98632911
1/2/2017 2:30,11.14,75.0,0.081,0.07,0.156,20.725063289999998
1/2/2017 2:40,11.21,75.2,0.077,0.062,0.137,20.88911392
1/2/2017 2:50,10.71,77.4,0.079,0.07,0.148,20.43341772
1/2/2017 3:00,10.7,77.7,0.079,0.062,0.159,20.372658230000003
1/2/2017 3:10,10.58,78.6,0.075,0.055,0.137,20.135696199999998
1/2/2017 3:20,10.59,79.5,0.078,0.084,0.145,20.12962025
1/2/2017 3:30,10.68,79.4,0.079,0.059,0.156,20.11746835
1/2/2017 3:40,10.52,79.8,0.076,0.066,0.145,20.08708861
1/2/2017 3:50,10.34,80.6,0.078,0.088,0.119,19.740759490000002
1/2/2017 4:00,10.18,81.7,0.079,0.059,0.159,19.831898730000002
1/2/2017 4:10,10.41,82.3,0.074,0.077,0.126,19.98987342
1/2/2017 4:20,10.41,81.4,0.078,0.095,0.134,20.16607595
1/2/2017 4:30,10.39,81.5,0.074,0.088,0.119,20.214683540000003
1/2/2017 4:40,10.16,81.9,0.075,0.073,0.122,20.14177215
1/2/2017 4:50,9.97,82.8,0.077,0.066,0.178,20.05670886
1/2/2017 5:00,10.03,83.8,0.08,0.029,0.163,20.25721519
1/2/2017 5:10,9.98,83.0,0.078,0.073,0.115,20.50025316
1/2/2017 5:20,9.74,82.8,0.081,0.106,0.126,20.712911390000002
1/2/2017 5:30,9.54,83.7,0.078,0.081,0.174,20.81012658
1/2/2017 5:40,9.53,83.9,0.072,0.066,0.182,21.04101266
1/2/2017 5:50,9.56,84.1,0.073,0.077,0.134,21.70936709
1/2/2017 6:00,9.58,84.5,0.075,0.048,0.134,22.74227848
1/2/2017 6:10,9.44,84.1,0.075,0.07,0.145,22.94886076
1/2/2017 6:20,9.4,84.4,0.077,0.07,0.122,23.25873418
1/2/2017 6:30,9.38,84.6,0.076,0.044,0.141,23.47139241
1/2/2017 6:40,9.16,84.7,0.077,0.048,0.145,23.65367089
1/2/2017 6:50,9.06,85.6,0.076,0.059,0.141,23.76911392
1/2/2017 7:00,9.17,85.8,0.078,0.073,0.163,23.38025316
1/2/2017 7:10,9.46,86.2,0.076,0.07,0.152,23.033924050000003
1/2/2017 7:20,9.74,85.4,0.072,0.077,0.111,22.803037970000002
1/2/2017 7:30,9.8,84.4,0.077,0.081,0.122,23.08253165
1/2/2017 7:40,9.58,83.9,0.079,0.073,0.13,22.803037970000002
1/2/2017 7:50,9.51,83.7,0.082,0.081,0.137,22.26835443
1/2/2017 8:00,9.44,83.2,0.084,0.124,0.223,22.74227848
1/2/2017 8:10,9.18,82.5,0.083,0.871,0.89,23.52607595
1/2/2017 8:20,8.96,83.4,0.083,2.95,2.867,24.34025316
1/2/2017 8:30,8.71,83.9,0.081,6.657,6.472,24.88101266
1/2/2017 8:40,8.52,85.1,0.081,13.02,11.56,25.19088608
1/2/2017 8:50,8.43,85.4,0.079,39.1,19.49,25.53113924
1/2/2017 9:00,8.44,85.9,0.08,64.11,24.49,25.98075949
1/2/2017 9:10,8.69,86.7,0.079,92.3,27.88,23.495696199999998
1/2/2017 9:20,9.02,86.7,0.082,117.2,30.43,23.62936709
1/2/2017 9:30,9.17,86.9,0.079,134.7,33.24,24.00607595
1/2/2017 9:40,10.48,87.0,0.079,169.2,35.2,24.77164557
1/2/2017 9:50,11.13,83.5,0.08,194.0,36.92,25.148354429999998
1/2/2017 10:00,11.68,81.7,0.08,218.3,39.07,25.51898734
1/2/2017 10:10,12.22,78.0,0.075,246.6,40.01,25.69518987
1/2/2017 10:20,12.61,74.8,0.076,270.6,40.59,26.35139241
1/2/2017 10:30,13.07,72.7,0.075,288.3,42.31,26.66734177
1/2/2017 10:40,13.61,70.2,0.077,309.8,43.74,26.79493671
1/2/2017 10:50,14.0,69.22,0.077,337.2,43.39,27.281012660000002
1/2/2017 11:00,14.55,64.11,0.077,360.7,41.43,27.64556962
1/2/2017 11:10,14.94,58.46,0.077,381.4,41.13,27.77316456
1/2/2017 11:20,15.08,57.23,0.076,396.6,40.66,27.894683540000003
1/2/2017 11:30,15.18,55.83,0.076,410.8,41.23,28.532658230000003
1/2/2017 11:40,15.28,56.49,0.075,425.6,41.84,28.81822785
1/2/2017 11:50,15.27,55.93,0.076,440.2,41.83,28.684556960000002
1/2/2017 12:00,15.21,55.69,0.077,452.5,41.73,28.93974684
1/2/2017 12:10,15.18,57.2,0.078,460.5,42.38,29.15240506
1/2/2017 12:20,15.11,57.86,0.074,469.9,43.43,29.67493671
1/2/2017 12:30,15.1,58.33,0.076,476.2,43.25,29.82683544
1/2/2017 12:40,15.26,58.8,0.076,482.3,44.1,29.905822779999998
1/2/2017 12:50,15.15,60.87,0.075,485.1,44.53,29.99088608
1/2/2017 13:00,15.23,60.53,0.076,487.1,44.09,29.966582279999997
1/2/2017 13:10,15.22,60.2,0.077,487.6,44.43,29.88151899
1/2/2017 13:20,15.22,59.83,0.076,486.9,44.29,29.76
1/2/2017 13:30,15.33,59.16,0.076,484.1,43.72,29.2921519
1/2/2017 13:40,15.41,58.13,0.076,481.1,43.82,29.14025316
1/2/2017 13:50,15.43,58.0,0.077,477.2,43.68,28.872911390000002
1/2/2017 14:00,15.56,56.03,0.075,470.9,42.8,28.672405060000003
1/2/2017 14:10,15.59,55.73,0.075,463.4,42.58,28.50227848
1/2/2017 14:20,15.47,56.29,0.077,451.8,42.83,28.684556960000002
1/2/2017 14:30,15.55,55.99,0.074,441.9,41.88,28.61772152
1/2/2017 14:40,15.57,56.53,0.076,427.9,42.14,28.63594937
1/2/2017 14:50,15.64,55.35,0.077,413.9,41.5,28.556962029999998
1/2/2017 15:00,15.59,55.76,0.077,399.4,40.61,28.72101266
1/2/2017 15:10,15.58,57.03,0.077,381.1,42.48,28.696708859999998
1/2/2017 15:20,15.49,57.19,0.075,364.3,45.96,29.04911392
1/2/2017 15:30,15.45,57.86,0.075,345.8,57.35,29.2556962
1/2/2017 15:40,15.36,57.72,0.075,324.6,79.5,29.01265823
1/2/2017 15:50,15.38,58.02,0.074,302.9,121.3,29.09164557
1/2/2017 16:00,15.37,58.59,0.077,280.3,184.0,29.030886080000002
1/2/2017 16:10,15.23,59.76,0.077,260.6,238.0,29.2678481
1/2/2017 16:20,15.23,61.12,0.075,238.2,253.4,29.48050633
1/2/2017 16:30,15.24,61.63,0.075,216.8,248.1,30.16101266
1/2/2017 16:40,15.19,61.72,0.075,192.0,227.3,31.01164557
1/2/2017 16:50,15.17,61.76,0.077,165.5,200.6,31.02987342
1/2/2017 17:00,15.22,59.95,0.076,142.6,175.0,32.39088608
1/2/2017 17:10,15.17,61.92,0.076,119.9,148.2,33.685063289999995
1/2/2017 17:20,15.02,62.32,0.076,98.7,123.7,35.65974684
1/2/2017 17:30,14.9,61.82,0.079,77.5,98.6,38.187341769999996
1/2/2017 17:40,14.81,61.79,0.078,58.1,75.3,40.64810127
1/2/2017 17:50,14.68,62.05,0.079,22.4,25.24,41.565569620000005
1/2/2017 18:00,14.54,64.02,0.074,11.04,11.2,41.64455696
1/2/2017 18:10,14.38,64.55,0.077,6.504,6.524,41.81468354
1/2/2017 18:20,14.23,65.55,0.076,3.071,3.089,41.76607595
1/2/2017 18:30,14.11,65.79,0.081,0.933,0.946,41.75392405
1/2/2017 18:40,14.03,66.72,0.074,0.143,0.189,41.80860759
1/2/2017 18:50,13.95,67.52,0.074,0.037,0.119,41.69924051
1/2/2017 19:00,13.87,68.59,0.075,0.066,0.1,41.28
1/2/2017 19:10,13.74,69.46,0.074,0.081,0.093,41.58379747
1/2/2017 19:20,13.55,69.9,0.076,0.029,0.104,41.851139239999995
1/2/2017 19:30,13.43,69.86,0.076,0.04,0.108,41.60810127
1/2/2017 19:40,13.35,69.86,0.076,0.073,0.078,41.395443039999996
1/2/2017 19:50,13.2,70.5,0.076,0.055,0.122,41.27392405
1/2/2017 20:00,13.42,68.89,0.073,0.055,0.096,40.93974684
1/2/2017 20:10,13.55,68.12,0.077,0.055,0.074,41.24962025
1/2/2017 20:20,13.42,68.52,0.075,0.055,0.093,41.3164557
1/2/2017 20:30,13.3,69.03,0.075,0.055,0.093,41.182784809999994
1/2/2017 20:40,13.33,68.72,0.076,0.066,0.108,41.06126582
1/2/2017 20:50,13.45,68.59,0.075,0.066,0.122,40.83037975
1/2/2017 21:00,13.47,66.99,0.074,0.048,0.078,40.83037975
1/2/2017 21:10,13.29,66.99,0.075,0.051,0.067,40.3564557
1/2/2017 21:20,13.15,66.42,0.078,0.055,0.093,39.79746835
1/2/2017 21:30,13.03,66.62,0.074,0.07,0.085,39.11696203
1/2/2017 21:40,12.93,67.29,0.076,0.07,0.111,38.56405063
1/2/2017 21:50,12.88,67.46,0.075,0.051,0.119,38.10227848
1/2/2017 22:00,12.86,67.76,0.074,0.084,0.093,37.79240506
1/2/2017 22:10,12.87,67.96,0.075,0.066,0.134,37.117974679999996
1/2/2017 22:20,12.92,68.52,0.074,0.037,0.148,36.21873418
1/2/2017 22:30,12.96,68.62,0.075,0.102,0.063,35.19189873
1/2/2017 22:40,12.88,69.33,0.075,0.062,0.152,34.754430379999995
1/2/2017 22:50,12.77,69.86,0.075,0.11,0.1,33.909873420000004
1/2/2017 23:00,12.82,70.1,0.075,0.077,0.1,32.785822780000004
1/2/2017 23:10,12.75,70.4,0.071,0.051,0.152,31.91696203
1/2/2017 23:20,12.54,71.5,0.077,0.051,0.1,30.2521519
1/2/2017 23:30,12.23,72.9,0.077,0.059,0.111,29.34683544
1/2/2017 23:40,12.19,72.8,0.077,0.07,0.122,28.59341772
1/2/2017 23:50,12.31,72.6,0.072,0.044,0.152,27.77924051
1/3/2017 0:00,12.08,74.0,0.076,0.117,0.093,26.66126582
1/3/2017 0:10,12.16,74.0,0.072,0.07,0.141,26.15088608
1/3/2017 0:20,12.07,74.1,0.074,0.102,0.119,25.43392405
1/3/2017 0:30,11.48,76.8,0.077,0.07,0.145,24.947848099999998
1/3/2017 0:40,11.45,77.7,0.074,0.073,0.115,24.54075949
1/3/2017 0:50,11.8,76.6,0.076,0.018,0.23,23.88455696
1/3/2017 1:00,12.23,75.1,0.074,0.062,0.145,23.42278481
1/3/2017 1:10,12.39,71.0,0.078,0.062,0.148,23.22227848
1/3/2017 1:20,12.42,71.4,0.077,0.059,0.159,22.766582279999998
1/3/2017 1:30,12.4,71.5,0.075,0.062,0.156,22.36556962
1/3/2017 1:40,11.84,73.4,0.079,0.073,0.152,22.09822785
1/3/2017 1:50,11.51,73.0,0.076,0.044,0.148,21.946329109999997
1/3/2017 2:00,11.35,73.6,0.081,0.095,0.134,21.691139240000002
1/3/2017 2:10,11.27,73.8,0.077,0.055,0.159,21.5756962
1/3/2017 2:20,11.33,74.5,0.073,0.044,0.13,21.50278481
1/3/2017 2:30,11.44,75.0,0.078,0.081,0.119,21.33265823
1/3/2017 2:40,12.26,75.5,0.076,0.073,0.163,21.05924051
1/3/2017 2:50,13.08,70.9,0.076,0.062,0.174,21.06531646
1/3/2017 3:00,12.78,71.8,0.078,0.055,0.156,20.98025316
1/3/2017 3:10,12.34,73.2,0.076,0.088,0.152,20.93164557
1/3/2017 3:20,12.2,73.8,0.072,0.084,0.178,20.65822785
1/3/2017 3:30,12.04,74.7,0.077,0.077,0.134,20.22683544
1/3/2017 3:40,11.96,74.9,0.077,0.07,0.137,20.22075949
1/3/2017 3:50,11.92,75.2,0.077,0.059,0.182,20.33012658
1/3/2017 4:00,11.85,75.1,0.083,0.077,0.156,20.20253165
1/3/2017 4:10,11.66,75.5,0.084,0.07,0.156,19.98987342
1/3/2017 4:20,11.55,76.1,0.077,0.055,0.156,19.98987342
1/3/2017 4:30,11.6,75.1,0.081,0.073,0.137,20.08708861
1/3/2017 4:40,11.17,77.8,0.076,0.077,0.148,20.12962025
1/3/2017 4:50,10.83,78.5,0.076,0.066,0.148,20.29974684
1/3/2017 5:00,10.74,78.6,0.077,0.048,0.189,20.39088608
1/3/2017 5:10,10.57,80.3,0.081,0.04,0.152,20.50025316
1/3/2017 5:20,10.49,80.3,0.08,0.084,0.141,20.75544304
1/3/2017 5:30,10.69,81.6,0.078,0.073,0.074,20.98632911
1/3/2017 5:40,11.22,80.0,0.076,0.077,0.171,21.454177220000002
1/3/2017 5:50,11.36,77.9,0.077,0.062,0.174,22.12253165
1/3/2017 6:00,11.44,77.5,0.079,0.102,0.122,22.954936710000002
1/3/2017 6:10,11.49,76.7,0.073,0.084,0.159,23.605063289999997
1/3/2017 6:20,11.33,76.8,0.075,0.062,0.145,24.25518987
1/3/2017 6:30,11.16,77.3,0.082,0.048,0.163,24.656202529999998
1/3/2017 6:40,10.89,77.5,0.082,0.099,0.111,24.552911390000002
1/3/2017 6:50,10.27,80.2,0.078,0.077,0.148,24.60759494
1/3/2017 7:00,10.15,80.8,0.08,0.055,0.193,24.534683540000003
1/3/2017 7:10,10.0,81.6,0.077,0.062,0.145,24.66227848
1/3/2017 7:20,9.9,81.5,0.076,0.048,0.171,24.534683540000003
1/3/2017 7:30,9.67,81.6,0.08,0.084,0.145,24.15189873
1/3/2017 7:40,9.27,81.5,0.08,0.059,0.167,23.81164557
1/3/2017 7:50,9.03,81.8,0.079,0.07,0.122,23.532151900000002
1/3/2017 8:00,8.85,82.7,0.082,0.146,0.223,23.88455696
1/3/2017 8:10,8.68,83.1,0.083,0.834,0.849,24.52253165
1/3/2017 8:20,8.54,83.7,0.078,2.88,2.815,24.87493671
1/3/2017 8:30,8.38,84.9,0.081,6.306,6.119,25.25164557
1/3/2017 8:40,8.5,84.9,0.079,12.91,11.68,25.871392410000002
1/3/2017 8:50,8.48,85.7,0.082,38.0,20.54,26.46683544
1/3/2017 9:00,8.4,85.3,0.082,64.8,27.42,27.135189869999998
1/3/2017 9:10,8.51,85.5,0.083,85.3,33.31,27.99797468
1/3/2017 9:20,8.8,85.0,0.084,109.4,38.03,28.107341769999998
1/3/2017 9:30,9.09,84.1,0.081,135.3,40.0,28.41721519
1/3/2017 9:40,9.62,84.5,0.082,161.3,41.16,29.085569619999998
1/3/2017 9:50,10.89,85.9,0.085,191.6,40.65,29.38329114
1/3/2017 10:00,12.43,83.3,0.079,220.3,41.27,30.057721519999998
1/3/2017 10:10,13.02,77.5,0.084,245.9,42.92,30.7564557
1/3/2017 10:20,13.38,74.4,0.078,269.7,43.12,30.93265823
1/3/2017 10:30,13.64,73.2,0.079,294.9,43.18,31.27291139
1/3/2017 10:40,13.88,72.2,0.084,319.0,43.25,31.84405063
1/3/2017 10:50,14.16,72.3,0.081,339.3,43.08,32.28151899
1/3/2017 11:00,14.54,69.24,0.084,361.2,43.97,32.74936709
1/3/2017 11:10,14.75,67.1,0.078,380.3,44.96,32.974177219999994
1/3/2017 11:20,14.87,66.57,0.08,397.2,45.17,33.00455696
1/3/2017 11:30,15.0,65.1,0.083,413.4,44.82,33.217215190000005
1/3/2017 11:40,15.08,64.4,0.079,428.2,44.18,33.33265823
1/3/2017 11:50,15.18,64.23,0.077,440.5,45.02,33.11392405
1/3/2017 12:00,15.28,64.43,0.074,452.5,44.71,33.16860759
1/3/2017 12:10,15.19,63.6,0.074,462.8,45.04,33.75189873
1/3/2017 12:20,15.18,64.77,0.075,470.7,44.71,34.01924051
1/3/2017 12:30,15.21,65.33,0.076,478.0,45.15,34.116455699999996
1/3/2017 12:40,15.31,64.2,0.074,484.0,44.76,34.468860760000005
1/3/2017 12:50,15.35,63.13,0.073,488.8,44.76,34.468860760000005
1/3/2017 13:00,15.43,62.93,0.073,492.7,44.55,34.341265820000004
1/3/2017 13:10,15.39,62.9,0.074,493.3,44.78,33.96455696
1/3/2017 13:20,15.41,62.83,0.074,491.9,44.84,33.502784809999994
1/3/2017 13:30,15.57,62.7,0.077,490.1,44.76,33.30227848
